Transaction_ID,Date,Customer_ID,Product_ID,Store_ID,Quantity,Product_Name,Product_Category,Unit_Price,Store_City,Store_Region,Total_Amount
T000935,2023-01-06,C0830,P008,S005,4,Backpack,Accessories,40,Seattle,West,160
T003932,2023-01-06,C0375,P001,S002,5,Laptop,Electronics,1200,Los Angeles,West,6000
T004538,2023-01-06,C0329,P009,S005,5,Watch,Accessories,200,Seattle,West,1000
T000742,2023-01-06,C0388,P003,S004,1,Headphones,Electronics,100,Miami,South,100
T000335,2023-01-06,C0293,P008,S001,3,Backpack,Accessories,40,New York,East,120
T000965,2023-01-06,C0278,P009,S004,5,Watch,Accessories,200,Miami,South,1000
T004309,2023-01-06,C0384,P004,S003,2,T-shirt,Clothing,25,Chicago,Central,50
T002863,2023-01-07,C0192,P003,S002,2,Headphones,Electronics,100,Los Angeles,West,200
T002468,2023-01-07,C0398,P006,S003,2,Sneakers,Footwear,80,Chicago,Central,160
T004617,2023-01-07,C0658,P010,S002,5,Tablet,Electronics,500,Los Angeles,West,2500
T002382,2023-01-07,C0295,P004,S003,4,T-shirt,Clothing,25,Chicago,Central,100
T001715,2023-01-07,C0319,P003,S005,1,Headphones,Electronics,100,Seattle,West,100
T001463,2023-01-07,C0260,P002,S003,1,Smartphone,Electronics,800,Chicago,Central,800
T003380,2023-01-07,C0824,P008,S005,5,Backpack,Accessories,40,Seattle,West,200
T000606,2023-01-07,C0710,P008,S002,2,Backpack,Accessories,40,Los Angeles,West,80
T004373,2023-01-07,C0100,P005,S003,3,Jeans,Clothing,50,Chicago,Central,150
T001651,2023-01-07,C0340,P002,S001,5,Smartphone,Electronics,800,New York,East,4000
T001278,2023-01-07,C0212,P001,S004,3,Laptop,Electronics,1200,Miami,South,3600
T000895,2023-01-07,C0180,P002,S001,1,Smartphone,Electronics,800,New York,East,800
T004254,2023-01-07,C0161,P007,S004,1,Coffee Maker,Appliances,150,Miami,South,150
T001860,2023-01-07,C0435,P002,S003,3,Smartphone,Electronics,800,Chicago,Central,2400
T004946,2023-01-07,C0701,P003,S004,2,Headphones,Electronics,100,Miami,South,200
T003837,2023-01-07,C0640,P006,S003,4,Sneakers,Footwear,80,Chicago,Central,320
T002967,2023-01-08,C0520,P010,S004,1,Tablet,Electronics,500,Miami,South,500
T003978,2023-01-08,C0097,P008,S002,5,Backpack,Accessories,40,Los Angeles,West,200
T003934,2023-01-08,C0181,P006,S002,5,Sneakers,Footwear,80,Los Angeles,West,400
T002990,2023-01-08,C0236,P001,S001,1,Laptop,Electronics,1200,New York,East,1200
T000688,2023-01-08,C0371,P003,S005,5,Headphones,Electronics,100,Seattle,West,500
T001251,2023-01-08,C0611,P007,S002,3,Coffee Maker,Appliances,150,Los Angeles,West,450
T001942,2023-01-08,C0641,P002,S001,5,Smartphone,Electronics,800,New York,East,4000
T003182,2023-01-08,C0752,P006,S005,4,Sneakers,Footwear,80,Seattle,West,320
T002045,2023-01-08,C0206,P006,S001,4,Sneakers,Footwear,80,New York,East,320
T003289,2023-01-08,C0063,P004,S005,4,T-shirt,Clothing,25,Seattle,West,100
T001765,2023-01-08,C0147,P007,S004,3,Coffee Maker,Appliances,150,Miami,South,450
T003476,2023-01-08,C0266,P008,S001,2,Backpack,Accessories,40,New York,East,80
T003981,2023-01-08,C0203,P004,S003,3,T-shirt,Clothing,25,Chicago,Central,75
T000876,2023-01-08,C0804,P004,S003,4,T-shirt,Clothing,25,Chicago,Central,100
T002566,2023-01-08,C0567,P008,S002,1,Backpack,Accessories,40,Los Angeles,West,40
T004936,2023-01-08,C0663,P001,S002,1,Laptop,Electronics,1200,Los Angeles,West,1200
T004744,2023-01-08,C0858,P009,S002,5,Watch,Accessories,200,Los Angeles,West,1000
T000829,2023-01-08,C0331,P009,S003,5,Watch,Accessories,200,Chicago,Central,1000
T002544,2023-01-08,C0751,P004,S005,5,T-shirt,Clothing,25,Seattle,West,125
T001320,2023-01-09,C0435,P002,S001,4,Smartphone,Electronics,800,New York,East,3200
T004167,2023-01-09,C0006,P007,S005,5,Coffee Maker,Appliances,150,Seattle,West,750
T002204,2023-01-09,C0432,P002,S002,2,Smartphone,Electronics,800,Los Angeles,West,1600
T000098,2023-01-09,C0761,P001,S005,2,Laptop,Electronics,1200,Seattle,West,2400
T001598,2023-01-09,C0185,P001,S005,4,Laptop,Electronics,1200,Seattle,West,4800
T001784,2023-01-09,C0502,P008,S003,4,Backpack,Accessories,40,Chicago,Central,160
T000602,2023-01-09,C0005,P001,S003,1,Laptop,Electronics,1200,Chicago,Central,1200
T001844,2023-01-09,C0658,P004,S001,3,T-shirt,Clothing,25,New York,East,75
T000270,2023-01-09,C0783,P006,S002,5,Sneakers,Footwear,80,Los Angeles,West,400
T001568,2023-01-09,C0259,P004,S001,2,T-shirt,Clothing,25,New York,East,50
T003652,2023-01-10,C0508,P005,S004,5,Jeans,Clothing,50,Miami,South,250
T002684,2023-01-10,C0273,P005,S001,3,Jeans,Clothing,50,New York,East,150
T004169,2023-01-10,C0314,P005,S002,2,Jeans,Clothing,50,Los Angeles,West,100
T000715,2023-01-10,C0620,P003,S002,4,Headphones,Electronics,100,Los Angeles,West,400
T002602,2023-01-10,C0617,P009,S004,2,Watch,Accessories,200,Miami,South,400
T001973,2023-01-10,C0381,P001,S005,2,Laptop,Electronics,1200,Seattle,West,2400
T001004,2023-01-10,C0302,P001,S002,1,Laptop,Electronics,1200,Los Angeles,West,1200
T004016,2023-01-10,C0960,P003,S003,2,Headphones,Electronics,100,Chicago,Central,200
T000485,2023-01-10,C0180,P001,S003,4,Laptop,Electronics,1200,Chicago,Central,4800
T001091,2023-01-10,C0322,P009,S001,2,Watch,Accessories,200,New York,East,400
T002206,2023-01-10,C0560,P004,S004,3,T-shirt,Clothing,25,Miami,South,75
T002525,2023-01-10,C0590,P009,S005,2,Watch,Accessories,200,Seattle,West,400
T004578,2023-01-11,C0645,P009,S003,1,Watch,Accessories,200,Chicago,Central,200
T002241,2023-01-11,C0387,P007,S005,3,Coffee Maker,Appliances,150,Seattle,West,450
T003726,2023-01-11,C0314,P001,S003,1,Laptop,Electronics,1200,Chicago,Central,1200
T001293,2023-01-11,C0441,P007,S005,1,Coffee Maker,Appliances,150,Seattle,West,150
T001802,2023-01-11,C0410,P001,S003,5,Laptop,Electronics,1200,Chicago,Central,6000
T004976,2023-01-11,C0016,P001,S002,4,Laptop,Electronics,1200,Los Angeles,West,4800
T001380,2023-01-11,C0260,P005,S001,2,Jeans,Clothing,50,New York,East,100
T003943,2023-01-11,C0493,P008,S002,1,Backpack,Accessories,40,Los Angeles,West,40
T001539,2023-01-11,C0542,P004,S002,5,T-shirt,Clothing,25,Los Angeles,West,125
T001123,2023-01-11,C0340,P010,S004,2,Tablet,Electronics,500,Miami,South,1000
T002601,2023-01-11,C0903,P008,S004,2,Backpack,Accessories,40,Miami,South,80
T001701,2023-01-12,C0171,P003,S003,3,Headphones,Electronics,100,Chicago,Central,300
T002413,2023-01-12,C0797,P009,S001,5,Watch,Accessories,200,New York,East,1000
T004264,2023-01-12,C0498,P002,S003,2,Smartphone,Electronics,800,Chicago,Central,1600
T000682,2023-01-12,C0557,P009,S004,5,Watch,Accessories,200,Miami,South,1000
T003841,2023-01-12,C0888,P001,S003,4,Laptop,Electronics,1200,Chicago,Central,4800
T000519,2023-01-12,C0891,P007,S003,1,Coffee Maker,Appliances,150,Chicago,Central,150
T002369,2023-01-12,C0882,P010,S002,1,Tablet,Electronics,500,Los Angeles,West,500
T002134,2023-01-12,C0439,P005,S004,5,Jeans,Clothing,50,Miami,South,250
T000852,2023-01-12,C0642,P010,S004,1,Tablet,Electronics,500,Miami,South,500
T003000,2023-01-12,C0410,P010,S003,5,Tablet,Electronics,500,Chicago,Central,2500
T003499,2023-01-12,C0789,P007,S005,5,Coffee Maker,Appliances,150,Seattle,West,750
T002696,2023-01-12,C0925,P008,S002,2,Backpack,Accessories,40,Los Angeles,West,80
T001668,2023-01-12,C0327,P002,S002,1,Smartphone,Electronics,800,Los Angeles,West,800
T001871,2023-01-12,C0109,P003,S005,3,Headphones,Electronics,100,Seattle,West,300
T002021,2023-01-12,C0298,P007,S005,1,Coffee Maker,Appliances,150,Seattle,West,150
T001434,2023-01-12,C0217,P009,S002,1,Watch,Accessories,200,Los Angeles,West,200
T002319,2023-01-12,C0819,P010,S005,2,Tablet,Electronics,500,Seattle,West,1000
T001873,2023-01-12,C0799,P008,S004,3,Backpack,Accessories,40,Miami,South,120
T001755,2023-01-12,C0175,P006,S005,5,Sneakers,Footwear,80,Seattle,West,400
T001424,2023-01-12,C0507,P004,S005,3,T-shirt,Clothing,25,Seattle,West,75
T003668,2023-01-12,C0004,P007,S004,4,Coffee Maker,Appliances,150,Miami,South,600
T002485,2023-01-13,C0897,P010,S001,1,Tablet,Electronics,500,New York,East,500
T001671,2023-01-13,C0614,P003,S002,3,Headphones,Electronics,100,Los Angeles,West,300
T000379,2023-01-13,C0137,P003,S001,4,Headphones,Electronics,100,New York,East,400
T003543,2023-01-13,C0211,P006,S002,5,Sneakers,Footwear,80,Los Angeles,West,400
T000555,2023-01-13,C0405,P007,S005,4,Coffee Maker,Appliances,150,Seattle,West,600
T003622,2023-01-13,C0641,P002,S003,2,Smartphone,Electronics,800,Chicago,Central,1600
T000152,2023-01-13,C0006,P002,S002,4,Smartphone,Electronics,800,Los Angeles,West,3200
T001008,2023-01-13,C0107,P003,S003,3,Headphones,Electronics,100,Chicago,Central,300
T003722,2023-01-13,C0710,P007,S005,3,Coffee Maker,Appliances,150,Seattle,West,450
T004239,2023-01-13,C0075,P010,S003,2,Tablet,Electronics,500,Chicago,Central,1000
T000917,2023-01-13,C0838,P003,S005,4,Headphones,Electronics,100,Seattle,West,400
T003794,2023-01-13,C0785,P002,S004,2,Smartphone,Electronics,800,Miami,South,1600
T003782,2023-01-13,C0479,P010,S001,1,Tablet,Electronics,500,New York,East,500
T003749,2023-01-13,C0519,P004,S005,3,T-shirt,Clothing,25,Seattle,West,75
T004924,2023-01-13,C0977,P010,S002,5,Tablet,Electronics,500,Los Angeles,West,2500
T002690,2023-01-13,C0954,P002,S005,2,Smartphone,Electronics,800,Seattle,West,1600
T000051,2023-01-14,C0247,P004,S005,4,T-shirt,Clothing,25,Seattle,West,100
T002731,2023-01-14,C0858,P006,S003,4,Sneakers,Footwear,80,Chicago,Central,320
T001870,2023-01-14,C0245,P001,S003,1,Laptop,Electronics,1200,Chicago,Central,1200
T000886,2023-01-14,C0175,P006,S003,4,Sneakers,Footwear,80,Chicago,Central,320
T002383,2023-01-14,C0189,P001,S001,5,Laptop,Electronics,1200,New York,East,6000
T003657,2023-01-14,C0713,P010,S005,2,Tablet,Electronics,500,Seattle,West,1000
T000892,2023-01-14,C0782,P007,S004,5,Coffee Maker,Appliances,150,Miami,South,750
T001947,2023-01-14,C0848,P008,S001,1,Backpack,Accessories,40,New York,East,40
T004291,2023-01-14,C0372,P006,S003,5,Sneakers,Footwear,80,Chicago,Central,400
T001473,2023-01-14,C0920,P005,S004,1,Jeans,Clothing,50,Miami,South,50
T002471,2023-01-14,C0207,P010,S004,1,Tablet,Electronics,500,Miami,South,500
T001058,2023-01-14,C0030,P005,S005,3,Jeans,Clothing,50,Seattle,West,150
T001319,2023-01-14,C0551,P004,S005,3,T-shirt,Clothing,25,Seattle,West,75
T004881,2023-01-14,C1000,P004,S004,4,T-shirt,Clothing,25,Miami,South,100
T000676,2023-01-14,C0792,P009,S001,5,Watch,Accessories,200,New York,East,1000
T002698,2023-01-14,C0586,P008,S005,2,Backpack,Accessories,40,Seattle,West,80
T001956,2023-01-14,C0646,P005,S002,1,Jeans,Clothing,50,Los Angeles,West,50
T001749,2023-01-15,C0367,P002,S002,5,Smartphone,Electronics,800,Los Angeles,West,4000
T000904,2023-01-15,C0942,P005,S002,4,Jeans,Clothing,50,Los Angeles,West,200
T003916,2023-01-15,C0082,P003,S004,3,Headphones,Electronics,100,Miami,South,300
T001776,2023-01-15,C0233,P010,S004,5,Tablet,Electronics,500,Miami,South,2500
T001104,2023-01-15,C0039,P002,S002,3,Smartphone,Electronics,800,Los Angeles,West,2400
T001078,2023-01-15,C0237,P003,S003,2,Headphones,Electronics,100,Chicago,Central,200
T001486,2023-01-15,C0508,P009,S004,3,Watch,Accessories,200,Miami,South,600
T003189,2023-01-15,C0620,P003,S004,3,Headphones,Electronics,100,Miami,South,300
T000093,2023-01-15,C0428,P010,S005,3,Tablet,Electronics,500,Seattle,West,1500
T000135,2023-01-15,C0053,P010,S001,3,Tablet,Electronics,500,New York,East,1500
T000498,2023-01-16,C0443,P007,S001,1,Coffee Maker,Appliances,150,New York,East,150
T003002,2023-01-16,C0294,P005,S004,3,Jeans,Clothing,50,Miami,South,150
T001491,2023-01-16,C0763,P001,S004,4,Laptop,Electronics,1200,Miami,South,4800
T003613,2023-01-16,C0795,P003,S005,3,Headphones,Electronics,100,Seattle,West,300
T003162,2023-01-16,C0517,P002,S005,5,Smartphone,Electronics,800,Seattle,West,4000
T004743,2023-01-16,C0502,P001,S001,5,Laptop,Electronics,1200,New York,East,6000
T004153,2023-01-16,C0834,P010,S005,1,Tablet,Electronics,500,Seattle,West,500
T001455,2023-01-16,C0188,P010,S002,3,Tablet,Electronics,500,Los Angeles,West,1500
T003754,2023-01-16,C0138,P007,S004,4,Coffee Maker,Appliances,150,Miami,South,600
T003842,2023-01-16,C0517,P010,S005,3,Tablet,Electronics,500,Seattle,West,1500
T004424,2023-01-16,C0805,P003,S003,1,Headphones,Electronics,100,Chicago,Central,100
T002551,2023-01-17,C0045,P010,S004,5,Tablet,Electronics,500,Miami,South,2500
T001184,2023-01-17,C0800,P001,S005,1,Laptop,Electronics,1200,Seattle,West,1200
T002517,2023-01-17,C0693,P006,S005,1,Sneakers,Footwear,80,Seattle,West,80
T001345,2023-01-17,C0232,P004,S004,5,T-shirt,Clothing,25,Miami,South,125
T001700,2023-01-17,C0791,P007,S003,4,Coffee Maker,Appliances,150,Chicago,Central,600
T002903,2023-01-17,C0529,P003,S003,5,Headphones,Electronics,100,Chicago,Central,500
T000330,2023-01-17,C0998,P002,S002,5,Smartphone,Electronics,800,Los Angeles,West,4000
T004307,2023-01-17,C0021,P008,S005,1,Backpack,Accessories,40,Seattle,West,40
T004625,2023-01-17,C0446,P002,S003,5,Smartphone,Electronics,800,Chicago,Central,4000
T003261,2023-01-17,C0399,P008,S001,1,Backpack,Accessories,40,New York,East,40
T003501,2023-01-17,C0943,P009,S002,1,Watch,Accessories,200,Los Angeles,West,200
T004039,2023-01-17,C0218,P002,S004,4,Smartphone,Electronics,800,Miami,South,3200
T001429,2023-01-17,C0244,P007,S001,2,Coffee Maker,Appliances,150,New York,East,300
T003805,2023-01-17,C0820,P007,S005,3,Coffee Maker,Appliances,150,Seattle,West,450
T003880,2023-01-17,C0750,P003,S001,3,Headphones,Electronics,100,New York,East,300
T001409,2023-01-17,C0348,P008,S004,1,Backpack,Accessories,40,Miami,South,40
T001676,2023-01-17,C0113,P004,S005,4,T-shirt,Clothing,25,Seattle,West,100
T004611,2023-01-17,C0646,P007,S005,3,Coffee Maker,Appliances,150,Seattle,West,450
T004563,2023-01-18,C0700,P001,S004,3,Laptop,Electronics,1200,Miami,South,3600
T001228,2023-01-18,C0790,P003,S005,1,Headphones,Electronics,100,Seattle,West,100
T001936,2023-01-18,C0723,P007,S002,2,Coffee Maker,Appliances,150,Los Angeles,West,300
T002624,2023-01-18,C0682,P008,S004,4,Backpack,Accessories,40,Miami,South,160
T000353,2023-01-18,C0700,P005,S004,5,Jeans,Clothing,50,Miami,South,250
T004470,2023-01-18,C0576,P006,S003,2,Sneakers,Footwear,80,Chicago,Central,160
T003279,2023-01-19,C0420,P002,S001,1,Smartphone,Electronics,800,New York,East,800
T002220,2023-01-19,C0095,P004,S003,5,T-shirt,Clothing,25,Chicago,Central,125
T004280,2023-01-19,C0592,P001,S003,5,Laptop,Electronics,1200,Chicago,Central,6000
T001227,2023-01-19,C0607,P002,S005,5,Smartphone,Electronics,800,Seattle,West,4000
T003569,2023-01-19,C0081,P008,S002,3,Backpack,Accessories,40,Los Angeles,West,120
T000637,2023-01-19,C0872,P010,S002,1,Tablet,Electronics,500,Los Angeles,West,500
T002757,2023-01-19,C0567,P006,S005,1,Sneakers,Footwear,80,Seattle,West,80
T000567,2023-01-19,C0602,P004,S001,3,T-shirt,Clothing,25,New York,East,75
T004593,2023-01-19,C0865,P002,S001,3,Smartphone,Electronics,800,New York,East,2400
T003962,2023-01-19,C0351,P008,S005,4,Backpack,Accessories,40,Seattle,West,160
T002661,2023-01-19,C0176,P006,S001,1,Sneakers,Footwear,80,New York,East,80
T002098,2023-01-19,C0870,P003,S005,5,Headphones,Electronics,100,Seattle,West,500
T004857,2023-01-19,C0758,P006,S001,3,Sneakers,Footwear,80,New York,East,240
T002260,2023-01-19,C0079,P006,S005,5,Sneakers,Footwear,80,Seattle,West,400
T000672,2023-01-20,C0287,P004,S001,5,T-shirt,Clothing,25,New York,East,125
T004916,2023-01-20,C0079,P006,S004,1,Sneakers,Footwear,80,Miami,South,80
T000988,2023-01-20,C0339,P009,S004,4,Watch,Accessories,200,Miami,South,800
T001915,2023-01-20,C0884,P007,S004,5,Coffee Maker,Appliances,150,Miami,South,750
T002421,2023-01-20,C0298,P001,S005,1,Laptop,Electronics,1200,Seattle,West,1200
T002725,2023-01-20,C0155,P002,S004,5,Smartphone,Electronics,800,Miami,South,4000
T002008,2023-01-20,C0008,P004,S005,4,T-shirt,Clothing,25,Seattle,West,100
T002700,2023-01-20,C0913,P009,S004,1,Watch,Accessories,200,Miami,South,200
T004335,2023-01-20,C0099,P004,S005,4,T-shirt,Clothing,25,Seattle,West,100
T004681,2023-01-20,C0835,P008,S004,4,Backpack,Accessories,40,Miami,South,160
T001297,2023-01-20,C0111,P003,S004,5,Headphones,Electronics,100,Miami,South,500
T002712,2023-01-20,C0157,P004,S001,2,T-shirt,Clothing,25,New York,East,50
T001570,2023-01-20,C0683,P002,S002,4,Smartphone,Electronics,800,Los Angeles,West,3200
T002934,2023-01-20,C0735,P008,S005,2,Backpack,Accessories,40,Seattle,West,80
T003497,2023-01-20,C0517,P001,S004,4,Laptop,Electronics,1200,Miami,South,4800
T000384,2023-01-20,C0287,P006,S002,5,Sneakers,Footwear,80,Los Angeles,West,400
T001741,2023-01-21,C0606,P004,S004,5,T-shirt,Clothing,25,Miami,South,125
T003453,2023-01-21,C0697,P006,S005,4,Sneakers,Footwear,80,Seattle,West,320
T003083,2023-01-21,C0684,P002,S005,2,Smartphone,Electronics,800,Seattle,West,1600
T002860,2023-01-21,C0238,P006,S001,4,Sneakers,Footwear,80,New York,East,320
T003778,2023-01-21,C0168,P007,S001,3,Coffee Maker,Appliances,150,New York,East,450
T000007,2023-01-21,C0049,P006,S001,2,Sneakers,Footwear,80,New York,East,160
T002512,2023-01-21,C0889,P002,S001,3,Smartphone,Electronics,800,New York,East,2400
T002877,2023-01-21,C0560,P007,S003,5,Coffee Maker,Appliances,150,Chicago,Central,750
T002146,2023-01-21,C0075,P005,S004,5,Jeans,Clothing,50,Miami,South,250
T000045,2023-01-21,C0112,P005,S002,3,Jeans,Clothing,50,Los Angeles,West,150
T001938,2023-01-21,C0528,P004,S005,4,T-shirt,Clothing,25,Seattle,West,100
T003731,2023-01-21,C0783,P007,S003,3,Coffee Maker,Appliances,150,Chicago,Central,450
T003006,2023-01-21,C0086,P003,S001,1,Headphones,Electronics,100,New York,East,100
T003640,2023-01-21,C0945,P006,S002,3,Sneakers,Footwear,80,Los Angeles,West,240
T004499,2023-01-21,C0026,P010,S001,2,Tablet,Electronics,500,New York,East,1000
T003196,2023-01-21,C0496,P010,S004,5,Tablet,Electronics,500,Miami,South,2500
T002912,2023-01-22,C0618,P003,S004,2,Headphones,Electronics,100,Miami,South,200
T004154,2023-01-22,C0537,P010,S001,5,Tablet,Electronics,500,New York,East,2500
T003548,2023-01-22,C0554,P009,S004,1,Watch,Accessories,200,Miami,South,200
T002641,2023-01-22,C0442,P007,S002,2,Coffee Maker,Appliances,150,Los Angeles,West,300
T000847,2023-01-22,C0700,P003,S002,4,Headphones,Electronics,100,Los Angeles,West,400
T000308,2023-01-22,C0499,P004,S003,5,T-shirt,Clothing,25,Chicago,Central,125
T001864,2023-01-22,C0432,P009,S004,3,Watch,Accessories,200,Miami,South,600
T001735,2023-01-22,C0904,P005,S004,2,Jeans,Clothing,50,Miami,South,100
T004793,2023-01-22,C0220,P008,S001,4,Backpack,Accessories,40,New York,East,160
T004663,2023-01-22,C0803,P002,S005,3,Smartphone,Electronics,800,Seattle,West,2400
T004251,2023-01-22,C0007,P007,S002,3,Coffee Maker,Appliances,150,Los Angeles,West,450
T000026,2023-01-22,C0790,P002,S004,2,Smartphone,Electronics,800,Miami,South,1600
T003661,2023-01-22,C0179,P008,S005,3,Backpack,Accessories,40,Seattle,West,120
