Customer_ID,Age_Group,Gender,Join_Date
C0250,18-25,F,2021-07-05
C0251,55+,F,2022-08-08
C0252,55+,F,2022-02-10
C0253,46-55,M,2022-01-29
C0254,46-55,M,2022-09-06
C0255,36-45,F,2022-07-21
C0256,18-25,F,2021-07-01
C0257,46-55,M,2021-03-24
C0258,46-55,M,2022-06-18
C0259,26-35,M,2021-12-24
C0260,26-35,M,2021-06-03
C0261,46-55,F,2021-05-20
C0262,36-45,F,2021-06-17
C0263,18-25,M,2022-08-26
C0264,46-55,M,2021-11-14
C0265,36-45,F,2021-12-18
C0266,36-45,F,2023-01-01
C0267,46-55,M,2022-07-19
C0268,36-45,F,2022-12-17
C0269,55+,M,2021-03-16
C0270,36-45,F,2022-09-12
C0271,46-55,F,2021-12-30
C0272,36-45,M,2022-09-22
C0273,46-55,F,2021-05-18
C0274,26-35,M,2021-11-22
C0275,46-55,F,2021-08-13
C0276,36-45,M,2021-05-01
C0277,46-55,M,2021-03-02
C0278,18-25,M,2022-11-23
C0279,46-55,F,2021-03-06
C0280,46-55,M,2021-07-03
C0281,18-25,M,2021-12-17
C0282,18-25,F,2021-08-04
C0283,18-25,F,2021-08-23
C0284,55+,M,2022-03-27
C0285,46-55,M,2022-01-16
C0286,18-25,F,2022-02-02
C0287,18-25,F,2021-07-27
C0288,26-35,F,2022-03-25
C0289,55+,M,2021-01-04
C0290,46-55,F,2022-02-17
C0291,36-45,M,2021-11-14
C0292,55+,M,2021-05-18
C0293,55+,M,2022-12-19
C0294,26-35,F,2022-11-07
C0295,46-55,F,2021-11-25
C0296,46-55,F,2022-01-25
C0297,18-25,M,2022-06-17
C0298,18-25,M,2021-02-23
C0299,55+,F,2022-03-16
C0300,26-35,F,2021-03-15
C0301,46-55,M,2021-10-18
C0302,26-35,M,2022-10-16
C0303,36-45,M,2022-09-12
C0304,46-55,M,2021-07-16
C0305,18-25,F,2021-12-23
C0306,55+,M,2022-09-08
C0307,26-35,M,2022-08-13
C0308,18-25,F,2022-06-19
C0309,55+,F,2021-07-11
C0310,18-25,F,2022-03-09
C0311,46-55,F,2022-10-18
C0312,26-35,M,2021-07-21
C0313,36-45,M,2022-09-24
C0314,18-25,M,2021-09-10
C0315,26-35,M,2021-09-21
C0316,46-55,M,2021-04-06
C0317,18-25,F,2022-03-16
C0318,46-55,F,2022-08-30
C0319,36-45,M,2021-08-01
C0320,36-45,F,2022-12-10
C0321,55+,M,2022-07-24
C0322,55+,M,2021-04-13
C0323,55+,M,2021-08-14
C0324,46-55,M,2022-12-12
C0325,55+,M,2021-09-25
C0326,26-35,F,2021-09-06
C0327,46-55,F,2021-08-18
C0328,46-55,M,2022-02-27
C0329,55+,M,2021-05-16
C0330,55+,F,2021-06-28
C0331,46-55,M,2022-06-13
C0332,36-45,M,2021-11-12
C0333,36-45,M,2021-04-02
C0334,55+,F,2022-08-13
C0335,36-45,M,2021-04-27
C0336,26-35,M,2022-09-17
C0337,26-35,F,2021-07-22
C0338,26-35,M,2021-07-14
C0339,46-55,M,2021-06-05
C0340,46-55,F,2021-02-13
C0341,46-55,F,2022-03-17
C0342,46-55,M,2022-02-25
C0343,46-55,F,2021-03-05
C0344,55+,M,2021-12-13
C0345,36-45,M,2022-11-10
C0346,55+,F,2021-05-27
C0347,36-45,M,2022-07-03
C0348,55+,F,2021-12-29
C0349,26-35,F,2021-01-31
C0350,18-25,F,2022-12-20
C0351,46-55,M,2021-06-22
C0352,18-25,F,2022-07-26
C0353,18-25,M,2022-03-24
C0354,26-35,F,2021-06-16
C0355,18-25,F,2022-03-21
C0356,18-25,M,2022-12-25
C0357,26-35,M,2022-10-22
C0358,36-45,F,2022-09-26
C0359,55+,M,2022-10-07
C0360,18-25,M,2022-09-23
C0361,46-55,F,2022-03-27
C0362,26-35,F,2022-03-19
C0363,18-25,M,2022-06-20
C0364,36-45,F,2021-12-07
C0365,36-45,F,2021-05-03
C0366,46-55,F,2021-10-09
C0367,18-25,M,2021-12-30
C0368,46-55,M,2021-10-29
C0369,36-45,M,2022-09-28
C0370,36-45,F,2022-04-16
C0371,55+,M,2021-08-08
C0372,36-45,F,2022-09-03
C0373,26-35,F,2022-01-01
C0374,55+,F,2022-02-04
C0375,46-55,F,2022-11-11
C0376,36-45,M,2021-12-02
C0377,26-35,F,2022-02-18
C0378,55+,F,2021-02-26
C0379,26-35,M,2021-01-30
C0380,55+,F,2022-03-31
C0381,55+,M,2021-05-15
C0382,55+,M,2022-06-22
C0383,46-55,M,2021-02-08
C0384,55+,F,2022-12-12
C0385,55+,M,2021-11-29
C0386,26-35,F,2021-01-17
C0387,55+,M,2022-06-14
C0388,46-55,M,2021-09-23
C0389,26-35,M,2022-08-04
C0390,55+,M,2022-07-27
C0391,26-35,F,2022-02-26
C0392,46-55,F,2021-08-16
C0393,26-35,M,2022-12-07
C0394,46-55,M,2022-10-28
C0395,36-45,M,2022-04-14
C0396,55+,F,2021-09-17
C0397,46-55,M,2022-07-19
C0398,55+,M,2022-08-01
C0399,46-55,F,2022-01-24
C0400,18-25,M,2021-01-14
C0401,18-25,M,2021-11-15
C0402,18-25,M,2021-03-08
C0403,46-55,M,2022-07-02
C0404,55+,F,2021-03-02
C0405,18-25,F,2022-06-22
C0406,55+,F,2022-12-31
C0407,46-55,M,2022-06-01
C0408,55+,M,2021-02-14
C0409,55+,F,2021-05-25
C0410,18-25,M,2021-04-03
C0411,26-35,M,2021-09-06
C0412,36-45,F,2021-06-20
C0413,46-55,F,2022-12-01
C0414,46-55,M,2021-03-03
C0415,46-55,F,2022-12-18
C0416,36-45,M,2022-02-18
C0417,26-35,F,2022-05-04
C0418,55+,F,2022-12-16
C0419,46-55,M,2021-07-17
C0420,55+,M,2022-10-13
C0421,18-25,F,2021-03-17
C0422,18-25,M,2021-10-23
C0423,18-25,M,2022-12-25
C0424,46-55,M,2021-02-22
C0425,36-45,F,2022-03-21
C0426,46-55,M,2022-06-30
C0427,18-25,M,2021-07-27
C0428,18-25,F,2021-11-06
C0429,46-55,F,2021-09-23
C0430,36-45,F,2022-10-11
C0431,36-45,F,2021-06-14
C0432,55+,M,2021-03-30
C0433,26-35,M,2021-04-05
C0434,18-25,F,2021-09-06
C0435,36-45,F,2022-02-11
C0436,18-25,M,2021-11-09
C0437,26-35,M,2022-11-12
C0438,18-25,F,2022-12-06
C0439,36-45,M,2021-02-24
C0440,55+,M,2021-07-06
C0441,46-55,F,2022-11-01
C0442,46-55,F,2021-03-16
C0443,36-45,F,2022-07-15
C0444,36-45,F,2022-03-22
C0445,26-35,M,2022-09-07
C0446,18-25,F,2022-12-29
C0447,26-35,M,2022-10-28
C0448,46-55,M,2022-11-03
C0449,18-25,M,2021-08-18
C0450,26-35,F,2022-05-18
C0451,46-55,M,2022-09-24
C0452,18-25,F,2022-09-05
C0453,55+,F,2022-10-25
C0454,55+,F,2021-03-09
C0455,26-35,M,2022-05-26
C0456,36-45,F,2022-05-24
C0457,18-25,F,2021-02-24
C0458,26-35,M,2021-08-16
C0459,36-45,F,2022-06-05
C0460,36-45,M,2021-06-06
C0461,18-25,M,2022-04-15
C0462,18-25,F,2021-08-02
C0463,36-45,F,2022-04-29
C0464,46-55,F,2022-04-20
C0465,26-35,F,2022-10-31
C0466,18-25,M,2021-12-06
C0467,36-45,F,2021-07-11
C0468,46-55,F,2021-11-11
C0469,55+,M,2022-11-10
C0470,36-45,F,2022-11-25
C0471,46-55,F,2022-02-28
C0472,55+,F,2021-03-22
C0473,46-55,F,2022-11-10
C0474,18-25,F,2021-05-06
C0475,36-45,M,2021-05-06
C0476,55+,F,2021-10-07
C0477,46-55,M,2021-09-28
C0478,55+,M,2021-09-03
C0479,26-35,M,2022-08-18
C0480,36-45,M,2021-12-26
C0481,18-25,F,2022-04-21
C0482,55+,F,2021-12-03
C0483,46-55,M,2022-11-26
C0484,55+,F,2021-03-19
C0485,46-55,F,2022-08-08
C0486,55+,M,2022-12-25
C0487,18-25,F,2022-04-26
C0488,18-25,M,2021-03-26
C0489,36-45,M,2021-06-10
C0490,18-25,F,2021-04-07
C0491,55+,F,2021-10-12
C0492,55+,F,2022-04-14
C0493,18-25,M,2021-04-10
C0494,26-35,M,2021-10-20
C0495,55+,F,2022-04-18
C0496,36-45,M,2022-02-13
C0497,26-35,F,2021-07-21
C0498,18-25,F,2022-03-07
C0499,46-55,F,2021-09-04
C0500,55+,F,2022-10-02
C0501,46-55,M,2022-07-22
C0502,36-45,F,2021-03-17
C0503,26-35,M,2022-02-01
C0504,46-55,M,2022-02-21
C0505,36-45,M,2022-05-09
C0506,46-55,M,2021-02-15
C0507,46-55,M,2022-10-11
C0508,36-45,M,2021-03-04
C0509,55+,F,2022-09-15
C0510,46-55,M,2022-07-08
C0511,36-45,F,2022-04-27
C0512,46-55,M,2021-06-14
C0513,55+,F,2021-03-06
C0514,36-45,F,2022-10-03
C0515,46-55,M,2022-01-28
C0516,18-25,F,2021-04-04
C0517,55+,F,2022-07-17
C0518,46-55,M,2022-08-16
C0519,26-35,M,2021-08-03
C0520,36-45,M,2021-06-03
C0521,46-55,M,2021-04-19
C0522,55+,M,2022-07-02
C0523,55+,M,2022-07-16
C0524,26-35,M,2022-01-05
C0525,26-35,M,2022-05-03
C0526,46-55,F,2022-08-17
C0527,18-25,M,2022-12-05
C0528,55+,F,2021-08-01
C0529,18-25,M,2021-11-30
C0530,18-25,M,2022-02-03
C0531,46-55,M,2022-02-19
C0532,36-45,M,2021-06-18
C0533,36-45,F,2021-11-02
C0534,36-45,F,2022-08-19
C0535,26-35,M,2021-02-11
C0536,55+,F,2021-04-01
C0537,26-35,M,2021-01-23
C0538,55+,F,2022-04-10
C0539,55+,M,2022-09-17
C0540,55+,F,2021-06-21
C0541,46-55,F,2022-08-17
C0542,36-45,F,2021-04-27
C0543,26-35,M,2022-11-16
C0544,26-35,F,2021-03-08
C0545,46-55,M,2021-12-30
C0546,55+,F,2022-12-27
C0547,36-45,M,2021-07-28
C0548,18-25,M,2021-07-22
C0549,18-25,M,2021-03-18
C0550,46-55,F,2022-04-05
C0551,36-45,F,2022-10-28
C0552,18-25,M,2021-11-08
C0553,18-25,M,2022-01-28
C0554,26-35,M,2021-08-22
C0555,36-45,F,2021-09-20
C0556,18-25,F,2022-02-05
C0557,26-35,F,2021-04-03
C0558,36-45,F,2022-08-24
C0559,55+,F,2021-07-21
C0560,36-45,M,2021-01-13
C0561,46-55,M,2021-05-11
C0562,26-35,M,2021-10-21
C0563,55+,M,2022-05-04
C0564,26-35,F,2021-09-26
C0565,26-35,F,2022-01-17
C0566,18-25,M,2022-12-16
C0567,36-45,F,2021-09-23
C0568,26-35,M,2022-01-04
C0569,26-35,F,2022-06-06
C0570,46-55,F,2021-05-01
C0571,46-55,M,2021-07-26
C0572,46-55,M,2021-02-02
C0573,26-35,M,2021-11-08
C0574,55+,F,2022-08-22
C0575,36-45,F,2022-12-19
C0576,26-35,F,2022-11-19
C0577,18-25,M,2021-12-21
C0578,55+,M,2022-03-13
C0579,55+,M,2021-12-02
C0580,36-45,F,2022-09-20
C0581,55+,F,2021-10-14
C0582,36-45,M,2022-11-01
C0583,55+,M,2021-06-16
C0584,36-45,M,2021-11-16
C0585,46-55,F,2021-04-12
C0586,46-55,F,2022-02-15
C0587,55+,M,2022-08-24
C0588,55+,M,2022-06-17
C0589,36-45,M,2022-11-27
C0590,36-45,F,2022-05-31
C0591,26-35,F,2021-05-26
C0592,46-55,F,2022-03-02
C0593,26-35,M,2021-06-14
C0594,26-35,M,2022-12-21
C0595,18-25,M,2022-10-11
C0596,36-45,M,2022-12-01
C0597,18-25,M,2021-11-20
C0598,18-25,M,2022-10-08
C0599,26-35,M,2021-11-17
C0600,18-25,M,2021-01-19
C0601,36-45,M,2021-06-18
C0602,26-35,M,2022-04-21
C0603,36-45,M,2022-05-06
C0604,55+,F,2021-01-15
C0605,18-25,M,2021-01-24
C0606,26-35,M,2021-10-07
C0607,46-55,F,2023-01-01
C0608,36-45,M,2021-05-11
C0609,18-25,F,2022-03-26
C0610,36-45,F,2021-03-22
C0611,36-45,M,2021-05-13
C0612,55+,M,2021-08-06
C0613,36-45,F,2021-02-21
C0614,55+,M,2022-09-05
C0615,55+,M,2021-08-15
C0616,55+,M,2022-10-14
C0617,18-25,F,2021-04-19
C0618,36-45,F,2021-02-24
C0619,36-45,M,2022-05-28
C0620,55+,M,2021-08-03
C0621,36-45,F,2021-01-05
C0622,36-45,F,2021-01-25
C0623,55+,M,2021-09-23
C0624,46-55,M,2021-08-02
C0625,46-55,M,2021-08-18
C0626,55+,F,2022-11-05
C0627,18-25,F,2022-01-30
C0628,36-45,M,2021-08-10
C0629,36-45,F,2021-04-28
C0630,46-55,M,2021-11-02
C0631,55+,M,2021-06-21
C0632,18-25,M,2021-12-28
C0633,55+,M,2021-11-17
C0634,46-55,M,2021-02-26
C0635,46-55,F,2021-10-27
C0636,36-45,F,2022-06-20
C0637,26-35,M,2021-12-21
C0638,18-25,F,2022-01-02
C0639,18-25,M,2021-03-29
C0640,26-35,F,2021-11-23
C0641,46-55,F,2021-08-28
C0642,55+,F,2022-10-28
C0643,18-25,F,2021-12-07
C0644,26-35,M,2022-10-11
C0645,36-45,F,2021-09-08
C0646,36-45,F,2022-05-18
C0647,46-55,F,2022-05-22
C0648,18-25,F,2022-09-11
C0649,55+,F,2021-03-21
C0650,18-25,F,2022-07-01
C0651,36-45,F,2021-08-08
C0652,18-25,F,2022-07-13
C0653,36-45,M,2021-07-28
C0654,26-35,M,2021-03-02
C0655,26-35,M,2022-06-11
C0656,36-45,F,2021-07-13
C0657,55+,M,2022-02-17
C0658,55+,M,2022-07-27
C0659,18-25,M,2022-03-30
C0660,36-45,F,2022-08-07
C0661,46-55,M,2022-10-11
C0662,55+,M,2021-11-09
C0663,55+,M,2021-07-13
C0664,26-35,M,2021-05-29
C0665,55+,M,2021-07-02
C0666,55+,M,2021-12-06
C0667,55+,M,2022-08-22
C0668,36-45,F,2021-04-04
C0669,36-45,M,2021-04-15
C0670,26-35,M,2021-05-08
C0671,18-25,F,2022-05-05
C0672,55+,F,2021-10-08
C0673,18-25,F,2022-06-16
C0674,36-45,F,2021-01-13
C0675,55+,F,2022-09-07
C0676,18-25,M,2022-05-28
C0677,18-25,M,2022-03-03
C0678,46-55,M,2022-05-04
C0679,36-45,F,2022-03-16
C0680,26-35,M,2022-03-07
C0681,26-35,M,2021-02-17
C0682,46-55,F,2021-12-10
C0683,18-25,F,2021-05-24
C0684,46-55,M,2022-06-07
C0685,46-55,F,2022-02-22
C0686,36-45,M,2021-04-25
C0687,55+,F,2022-12-07
C0688,18-25,M,2022-10-15
C0689,26-35,M,2022-08-27
C0690,26-35,M,2021-11-15
C0691,46-55,F,2022-08-18
C0692,46-55,F,2022-02-02
C0693,46-55,F,2021-07-03
C0694,18-25,F,2021-12-10
C0695,46-55,M,2021-06-10
C0696,46-55,M,2022-05-17
C0697,55+,M,2021-11-07
C0698,18-25,M,2022-08-31
C0699,36-45,F,2022-10-06
C0700,36-45,F,2022-08-14
C0701,55+,F,2022-11-12
C0702,26-35,F,2021-06-14
C0703,36-45,M,2021-11-23
C0704,18-25,F,2022-01-30
C0705,26-35,F,2021-03-11
C0706,46-55,F,2021-03-08
C0707,18-25,M,2022-01-01
C0708,26-35,M,2022-04-19
C0709,36-45,M,2021-12-10
C0710,46-55,F,2022-11-18
C0711,46-55,M,2022-04-08
C0712,18-25,M,2022-02-25
C0713,46-55,M,2021-03-01
C0714,26-35,M,2022-03-30
C0715,55+,M,2021-09-14
C0716,36-45,M,2021-06-14
C0717,18-25,F,2022-08-10
C0718,55+,F,2022-05-12
C0719,55+,M,2021-02-10
C0720,18-25,F,2021-01-12
C0721,26-35,M,2022-08-19
C0722,36-45,F,2021-10-14
C0723,18-25,M,2022-01-14
C0724,55+,F,2021-12-04
C0725,55+,M,2022-04-02
C0726,18-25,M,2021-12-14
C0727,55+,F,2022-02-13
C0728,18-25,M,2022-07-03
C0729,18-25,F,2021-06-08
C0730,36-45,M,2021-10-19
C0731,18-25,M,2022-10-31
C0732,55+,M,2021-01-05
C0733,46-55,M,2021-03-22
C0734,36-45,F,2021-03-27
C0735,55+,F,2022-11-29
C0736,55+,F,2021-01-27
C0737,36-45,F,2021-09-12
C0738,36-45,F,2022-10-07
C0739,55+,M,2022-06-06
C0740,46-55,M,2021-09-27
C0741,26-35,F,2022-10-13
C0742,55+,M,2022-02-14
C0743,36-45,F,2021-11-13
C0744,18-25,M,2022-06-26
C0745,18-25,F,2022-05-14
C0746,36-45,M,2021-12-06
C0747,36-45,M,2022-07-17
C0748,26-35,F,2021-10-16
C0749,36-45,M,2022-07-18
C0750,18-25,F,2022-05-16
C0751,46-55,M,2022-08-05
C0752,36-45,F,2021-03-09
C0753,26-35,M,2021-07-01
C0754,46-55,F,2021-12-12
C0755,26-35,M,2021-12-17
C0756,46-55,M,2022-04-02
C0757,36-45,F,2021-04-25
C0758,18-25,F,2022-11-01
C0759,46-55,F,2021-09-22
C0760,55+,F,2021-07-23
C0761,26-35,M,2022-08-05
C0762,46-55,M,2022-08-13
C0763,26-35,M,2022-09-08
C0764,18-25,M,2022-10-29
C0765,26-35,M,2021-10-30
C0766,26-35,F,2022-02-26
C0767,55+,F,2021-01-26
C0768,26-35,F,2021-10-29
C0769,46-55,F,2022-07-25
C0770,26-35,F,2022-03-02
C0771,36-45,M,2022-01-06
C0772,26-35,M,2022-03-30
C0773,36-45,F,2022-03-12
C0774,26-35,F,2021-06-30
C0775,26-35,F,2022-07-17
C0776,46-55,M,2021-09-30
C0777,36-45,F,2021-06-01
C0778,36-45,F,2022-12-26
C0779,55+,F,2021-05-15
C0780,26-35,M,2021-01-21
C0781,26-35,F,2022-08-23
C0782,46-55,M,2021-05-24
C0783,55+,F,2022-01-20
C0784,55+,F,2021-01-11
C0785,46-55,M,2021-05-16
C0786,36-45,M,2022-04-24
C0787,18-25,F,2021-11-18
C0788,46-55,F,2021-07-08
C0789,36-45,M,2022-01-12
C0790,55+,M,2021-01-19
C0791,46-55,F,2021-06-17
C0792,18-25,M,2021-12-30
C0793,26-35,M,2021-05-28
C0794,46-55,F,2021-08-09
C0795,18-25,F,2021-07-18
C0796,18-25,F,2021-07-23
C0797,46-55,M,2021-07-23
C0798,36-45,F,2021-11-26
C0799,46-55,F,2022-07-11
C0800,55+,M,2022-10-16
C0801,18-25,F,2021-10-19
C0802,18-25,M,2021-07-02
C0803,26-35,M,2022-05-15
C0804,18-25,F,2021-11-28
C0805,26-35,F,2022-06-03
C0806,18-25,M,2022-06-23
C0807,18-25,F,2021-06-09
C0808,46-55,M,2021-01-31
C0809,46-55,M,2022-04-10
C0810,55+,F,2022-08-29
C0811,36-45,F,2021-01-17
C0812,55+,M,2021-12-16
C0813,18-25,M,2021-07-07
C0814,55+,F,2021-08-18
C0815,46-55,M,2021-11-25
C0816,18-25,M,2022-04-16
C0817,18-25,M,2021-12-11
C0818,55+,F,2021-11-16
C0819,26-35,M,2022-01-21
C0820,36-45,M,2022-09-30
C0821,55+,F,2022-02-08
C0822,55+,M,2022-09-24
C0823,36-45,M,2021-09-28
C0824,18-25,F,2022-02-21
C0825,18-25,F,2022-12-08
C0826,26-35,F,2021-08-26
C0827,55+,F,2022-01-14
C0828,36-45,F,2022-09-07
C0829,55+,M,2022-06-17
C0830,46-55,M,2022-03-29
C0831,55+,F,2021-05-30
